State,Year_of_Disclosure_Law,Specific_Subsidy_Program_Affected_by_Law____Means_Update_to_,Disclosure_Law,State_Statute,Excerpt,Subsidies_in_Sample___Y_N_,Internal_Disclosure___Y_N_,External_Disclosure___Y_N_,Match_to_Specific_Program_in_DLR__Appendix_C_,X_if_Related_to_Existing_Regime_in_DLR,Internal_or_Public_Reporting
New York,2013,START-UP NY,"L 2013, ch 68, § 1 (Part A), eff June 24, 2013","NY CLS Econ Dev § 433, 438","Disclosure authorization and reporting requirements. 1. The commissioner and the department shall disclose publicly the names and addresses of the businesses located within a tax-free NY area. In addition, the commissioner and the department shall disclose publicly and include in the annual report required under subdivision two of this section such other information contained in such businesses’ applications and annual reports, including the projected number of net new jobs to be created, as they determine is relevant and necessary to evaluate the success of this program.
2. 
(a)  The commissioner shall prepare an annual report to the governor and the legislature. Such report shall include the number of business applicants, number of businesses approved, the names and addresses of the businesses located within a tax-free NY area, total amount of benefits distributed, benefits received per business, number of net new jobs created, net new jobs created per business, new investment per business, the types of industries represented and such other information as the commissioner determines is necessary to evaluate the progress of the START-UP NY program.
(b)  Any business located in a tax-free NY area must submit an annual report to the commissioner in a form and at such time and with such information as prescribed by the commissioner in consultation with the commissioner of taxation and finance. Such information shall be sufficient for the commissioner and the commissioner of taxation and finance to: (i) monitor the continued eligibility of the business and its employees to participate in the START-UP NY program and receive the tax benefits described in section thirty-nine of the tax law; (ii) evaluate the progress of the START-UP NY program; and (iii) prepare the annual report required by paragraph (a) of this subdivision. Such annual report shall also include information regarding the wages paid during the year to its employees employed in the net new jobs created and maintained in the tax-free NY area.",Y,Y,Y,Start-up NY,X,Internal and Public
New York,2008,Brownfield Redevelopment Tax Credit; Remediated Brownfield Credit; Environmental Remediated Insurance Credit,"L 2008, ch 390, §§ 7–12, eff April 1, 2009; L 2008, ch 390, § 13, eff July 21, 2008",NY CLS Gen Mun § 973,"THE BOARD SHALL HAVE THE FOLLOWING DUTIES:
A.  SERVE AS A WORKING FORUM FOR THE EXCHANGE OF VIEWS, CONCERNS, IDEAS, INFORMATION, AND RECOMMENDATIONS RELATING TO THE STATE’S BROWNFIELD CLEANUP PROGRAM AS PROVIDED IN THIS TITLE, AND THE STATE’S BROWNFIELD OPPORTUNITY AREA PROGRAM AS PROVIDED IN SECTION NINE HUNDRED SEVENTY-R OF THE GENERAL MUNICIPAL LAW, HEREIN COLLECTIVELY KNOWN AS THE STATE’S BROWNFIELD PROGRAMS;
B.  REQUEST AND RECEIVE FROM ANY STATE AGENCY SUCH REASONABLE AND PERTINENT INFORMATION AND DATA RELATED TO THE STATE’S BROWNFIELD PROGRAMS AS THE BOARD MAY REQUEST;
C.  MONITOR AND REVIEW THE IMPLEMENTATION OF THE STATE’S BROWNFIELD PROGRAMS, AS WELL AS THE POLICIES AND OBJECTIVES OF THE STATE’S BROWNFIELD PROGRAMS; AND
D.  REVIEW AND EVALUATE THE APPROPRIATE STATE AND INDUSTRY CONTRIBUTION TO THE STATE’S BROWNFIELD PROGRAMS.
7.  BASED ON THE INFORMATION RECEIVED AND TASKS PERFORMED AS DESCRIBED IN PARAGRAPHS A THROUGH D OF SUBDIVISION SIX OF THIS SECTION, AS WELL AS SUCH OTHER INFORMATION THAT HAS BECOME AVAILABLE TO THE BOARD, THE BOARD SHALL, ON OR BEFORE DECEMBER FIRST, TWO THOUSAND NINE AND ON OR BEFORE THE FIRST DAY OF DECEMBER OF EACH YEAR THEREAFTER, REPORT TO THE GOVERNOR AND TO THE LEGISLATURE, ON ITS ASSESSMENT OF THE IMPLEMENTATION OF THE STATE’S BROWNFIELD PROGRAMS, TOGETHER WITH ITS COMMENTS, SUGGESTIONS, AND RECOMMENDATIONS REGARDING SUCH PROGRAMS, AVAILABLE FUNDING AND RESOURCES, AND THE NEED FOR ANY ADDITIONAL STEPS TO ENSURE THE FUTURE AVAILABILITY OF FUNDING.

SECTION 171-R.  BROWNFIELD CREDIT REPORT. 
(A)  THE COMMISSIONER, IN CONSULTATION WITH THE COMMISSIONER OF ENVIRONMENTAL CONSERVATION, MUST PUBLISH A BROWNFIELD CREDIT REPORT ANNUALLY BY JANUARY THIRTY-FIRST. THE FIRST REPORT MUST BE PUBLISHED BY JANUARY THIRTY-FIRST, TWO THOUSAND NINE.
(B)  THE BROWNFIELD CREDIT REPORT MUST CONTAIN THE FOLLOWING INFORMATION ABOUT THE CREDITS CLAIMED UNDER SECTIONS TWENTY-ONE, TWENTY-TWO AND TWENTY-THREE OF THIS CHAPTER DURING THE PREVIOUS CALENDAR YEAR:
(1)  THE NAME OF EACH TAXPAYER CLAIMING A CREDIT; PROVIDED HOWEVER, IF THE TAXPAYER CLAIMS A CREDIT BECAUSE THE TAXPAYER IS A MEMBER OF A LIMITED LIABILITY COMPANY, A PARTNER IN A PARTNERSHIP OR A SHAREHOLDER IN A SUBCHAPTER S CORPORATION, THE NAME OF EACH LIMITED LIABILITY COMPANY, PARTNERSHIP OR SUBCHAPTER S CORPORATION EARNING ANY OF THOSE CREDITS MUST BE INCLUDED IN THE REPORT INSTEAD OF INFORMATION ABOUT THE TAXPAYER CLAIMING THE CREDIT;
(2)  THE AMOUNT OF EACH CREDIT EARNED BY EACH TAXPAYER; PROVIDED HOWEVER, IF THE TAXPAYER CLAIMS A CREDIT BECAUSE THE TAXPAYER IS A MEMBER OF A LIMITED LIABILITY COMPANY, A PARTNER IN A PARTNERSHIP OR A SHAREHOLDER IN A SUBCHAPTER S CORPORATION, THE AMOUNT OF CREDIT EARNED BY EACH ENTITY MUST BE INCLUDED IN THE REPORT INSTEAD OF INFORMATION ABOUT THE TAXPAYER CLAIMING THE CREDIT;
(3)  INFORMATION IDENTIFYING THE PROJECT FOR WHICH A CERTIFICATE OF COMPLETION WAS ISSUED AND THE CREDIT CLAIMED UNDER SECTION TWENTY-ONE, TWENTY-TWO OR TWENTY-THREE OF THIS CHAPTER, INCLUDING THE NAME OF THE PROJECT AND MUNICIPALITY, INCLUDING THE COUNTY, IN WHICH THE PROJECT IS LOCATED; AND
(4)  THE NUMBER OF CREDITS BY EACH CREDIT TYPE AND THE AMOUNT OF SUCH CREDITS GRANTED, CLAIMED AND EARNED ON A BROWNFIELD SITE, STATEWIDE AND DEPARTMENT OF ENVIRONMENTAL CONSERVATION REGION BASIS; AND OF THOSE, THE NUMBER OF CREDITS AND THE AVERAGE AMOUNT OF SUCH CREDITS ALLOWED TO TAXPAYERS IN EACH COUNTY, BROWNFIELD OPPORTUNITY AREA DESIGNATED PURSUANT TO SECTION NINE HUNDRED SEVENTY-R OF THE GENERAL MUNICIPAL LAW AND IN EACH ENVIRONMENTAL ZONE AS DEFINED IN SUBDIVISION (B) OF SECTION TWENTY-ONE OF THIS CHAPTER.
(5)  COPIES OF ALL REPORTS RECEIVED FROM DEVELOPERS PURSUANT TO SECTION ONE HUNDRED SEVENTY-ONE-S OF THIS ARTICLE OR, IN THE COMMISSIONER’S DISCRETION, A SUMMARY OF THE CONTENTS OF SUCH REPORTS.
(C)  THE INFORMATION INCLUDED IN THE BROWNFIELD CREDIT REPORT WILL BE BASED ON THE INFORMATION FILED WITH THE DEPARTMENT DURING THE PREVIOUS CALENDAR YEAR, TO THE EXTENT THAT IT IS PRACTICABLE TO USE THAT INFORMATION.
(D)  SUCH REPORT SHALL ALSO CONTAIN ANY OTHER INFORMATION RECEIVED FROM THE COMMISSIONER OF ENVIRONMENTAL CONSERVATION WITH REGARD TO SUCH CREDITS, AND ANY OTHER STATISTICAL INFORMATION THAT SUCH COMMISSIONER DEEMS TO BE USEFUL IN ANALYZING THE EFFECTS OF THE PROGRAM

BROWNFIELD CLEANUP PROGRAM REPORT.
1.  THE COMMISSIONER, IN CONSULTATION WITH THE COMMISSIONER OF TAXATION AND FINANCE, SHALL PREPARE ON OR BEFORE APRIL THIRTIETH OF EACH YEAR, A REPORT CONCERNING THE BROWNFIELD CLEANUP PROGRAM WHICH CONTAINS THE FOLLOWING INFORMATION FOR THE PRECEDING FISCAL YEAR:
A.  THE NUMBER OF REQUESTS FOR PARTICIPATION RECEIVED BY THE DEPARTMENT;
B.  THE NUMBER OF REMEDIAL INVESTIGATIONS COMMENCED, AND THE NUMBER OF REMEDIAL INVESTIGATIONS COMPLETED;
C.  THE NUMBER OF REQUESTS FOR PARTICIPATION WITHDRAWN OR TERMINATED PRIOR TO ISSUANCE OF CERTIFICATE OF COMPLETION;
D.  FOR EACH REQUEST FOR PARTICIPATION THAT RESULTED IN A CERTIFICATE OF COMPLETION, THE LENGTH OF TIME FROM THE DATE THE DEPARTMENT RECEIVED THE REQUEST, TO THE DATE THE COMMISSIONER ISSUES THE CERTIFICATE OF COMPLETION;
E.  THE TOTAL NUMBER OF CERTIFICATES OF COMPLETION ISSUED; AND
F.  SUCH OTHER INFORMATION AS THE COMMISSIONER MAY DETERMINE IS RELEVANT TO THE STATUS OF THE ADMINISTRATION OF THE PROGRAM.
2.  COPIES OF THIS REPORT SHALL BE SUBMITTED TO THE GOVERNOR, THE DIRECTOR OF THE BUDGET, THE TEMPORARY PRESIDENT OF THE SENATE, THE SPEAKER OF THE ASSEMBLY, THE CHAIR OF THE SENATE FINANCE COMMITTEE, THE CHAIR OF THE ASSEMBLY WAYS AND MEANS COMMITTEE AND THE NEW YORK BROWNFIELDS ADVISORY BOARD",Y,Y,Y,Brownfield Cleanup Program Tax Credit; Brownfield Redevelopment Credit; Envrironmental Remediated Insurance Credit,NA,Internal and Public
New York,2014,Musical and Theatrical Production Credit,"L 2014, ch 59, § 1 (Part HH), eff March 31, 2014",NY CLS Tax § 24-a,"""The department of economic development shall submit to the governor, the temporary president of the senate, and the speaker of the assembly, an annual report to be submitted on February first of each year evaluating the effectiveness of the musical and theatrical production tax credit provided by this section in stimulating the growth of the musical and theatrical industry in the state. Such report shall include, but need not be limited to, in total and by qualified musical and theatrical production, the number of qualified musical and theatrical productions which received a musical and theatrical production credit, the qualified production expenditures, the transportation expenditures, the qualified production facilities, and the credit amounts claimed by each qualified musical and theatrical production, as well as the impact on employment and the economy of the state...Notwithstanding any provision of law to the contrary, the information contained in the report shall be public information. The report may also include any recommendations of changes in the calculation or administration of the credit, and any other recommendation of the commissioner of the department of economic development regarding continuing modification, repeal of such act, and such other information regarding the act as the commissioner of the department of economic development may feel useful and appropriate.""",N,Y,Y,NA,NA,Internal and Public
New York,2013,Industrial Development Authority Sales Tax Exemption*,"L 2013, ch 59, § 2 (Part J), eff March 28, 2013","NY CLS Gen Mun § 874, 875","Reporting originally established in 1993 and 1997.  Additional language included in the 2013 law: ""Such IDA shall also, within thirty days of providing financial assistance to a project that includes any amount of state sales and use tax exemption benefits, report to the commissioner the amount of such benefits for such project, the project to which they are being provided, together with such other information and such specificity and detail as the commissioner may prescribe.... 
(d)  An IDA shall prepare an annual compliance report detailing its terms and conditions described in paragraph (a) of this subdivision and its activities and efforts to recover, recapture, receive, or otherwise obtain state sales and use exemptions benefits described in paragraph (b) of this subdivision, together with such other information as the commissioner and the commissioner of economic development may require. The report required by this subdivision shall be filed with the commissioner, the director of the division of the budget, the commissioner of economic development, the state comptroller, the governing body of the municipality for whose benefit the agency was created, and may be included with the annual financial statement required by paragraph (b) of subdivision one of section eight hundred fifty-nine of this title. 
7.  In addition to any other reporting or filing requirements an IDA has under this article or other law, an IDA shall also report and make available on the internet, without charge, copies of its resolutions and agreements appointing an agent or project operator or otherwise related to any project it establishes. It shall also provide, without charge, copies of all such reports and information to a person who asks for it in writing or in person. The IDA may, at the request of its agent or project operator delete from any such copies posted on the internet or provided to a person described in the prior sentence portions of its records that are specifically exempted from disclosure under article six of the public officers law.""",N,Y,Y,NA,NA,Internal and Public
New York,1999,Workforce Investment Board,"L 1999, ch 624, § 5, eff Nov 10, 1999","NY CLS Labor § 852, 853","SUNSHINE PROVISIONS. THE STATE BOARD SHALL MAKE AVAILABLE TO THE PUBLIC, ON A REGULAR BASIS THROUGH OPEN MEETINGS, INFORMATION REGARDING THE ACTIVITIES OF THE BOARD, INCLUDING INFORMATION REGARDING THE STATE PLAN PRIOR TO SUBMISSION OF THE PLAN, INFORMATION REGARDING MEMBERSHIP, AND, ON REQUEST, MINUTES OF FORMAL MEETINGS OF THE STATE BOARD. <A]

[A> SECTION 853. REPORT. THE DEPARTMENT SHALL BE RESPONSIBLE FOR THE PREPARATION OF THE ANNUAL REPORT TO THE SECRETARY OF LABOR DESCRIBING THOSE ACTIVITIES OF THE WORKFORCE INVESTMENT BOARD TAKEN TO COMPLY WITH THE REQUIREMENTS OF THE FEDERAL WORKFORCE INVESTMENT ACT OF 1998 (P.L. 105- 220), AS WELL AS A REPORT TO THE GOVERNOR AND LEGISLATURE DESCRIBING SUCH ACTIVITIES, ON OR BEFORE THE FIRST DAY OF JANUARY, TWO THOUSAND ONE AND ON THE FIRST DAY OF JANUARY IN EACH CONSECUTIVE YEAR THEREAFTER",N,Y,Y,NA,NA,Internal; Public (Sunshine Law)
Oklahoma,1997,Closed Meetings of Economic Development,"Added to existing law from 1977 about Executive Sessions by 1997 OK. SB 996, effective May 28, 1998",25 Okl. St. Sec. 307,"A.No public body shall hold executive sessions unless otherwise specifically provided in this section.  C.Notwithstanding the provisions of subsection B of this section, the following public bodies may hold executive sessions: 11.All nonprofit foundations, boards, bureaus, commissions, agencies, trusteeships, authorities, councils, committees, public trusts, task forces or study groups supported in whole or part by public funds or entrusted with the expenditure of public funds for purposes of conferring on matters pertaining to economic development, including the transfer of property, financing, or the creation of a proposal to entice a business to remain or to locate within their jurisdiction if public disclosure of the matter discussed would interfere with the development of products or services or if public disclosure would violate the confidentiality of the business;",N,NA,NA,NA,NA,NA
Oklahoma,2006,Oklahoma Opportunity Fund,"Laws 2006, 2nd Extr. Sess., HB 1169, c. 41, § 1, emerg. eff. July 1, 2006",62 Okl. St. § 48,"There is hereby created in the State Treasury a revolving fund for the Oklahoma Department of Commerce to be designated the “Oklahoma Opportunity Fund”. The fund shall be a continuing fund, not subject to fiscal year limitations and shall consist of:
1. All monies apportioned or allocated to the fund pursuant to law;
2. Any amounts appropriated by the Legislature to the fund;
3. Interest earned on the investment of money in the fund; and
4. Gifts, grants, and other donations received for the fund.
B. All monies accruing to the credit of the fund are hereby appropriated and may be budgeted and expended by the Governor for the purposes of economic development and related infrastructure development, subject to the unanimous approval of the Contingency Review Board pursuant to subsection E of this section. Expenditures from the fund shall be made upon warrants issued by the State Treasurer against claims filed as prescribed by law with the Director of the Office of Management and Enterprise Services for approval and payment.
E. No expenditure shall be made from the Oklahoma Opportunity Fund unless such expenditure has been unanimously approved by the Contingency Review Board.",Y,NA,NA,Oklahoma Opportunity Fund,NA,NA
Oklahoma,2017,Bond Transparenc Act for Pooled Financing,"Laws 2017, HB 1949, c. 62, § 2, eff. November 1, 2017",62 Okl. St. § 896.1,"Related to Pooled Finance Act passed in 2009.  Reporting, but by municipalities: A. At least thirty (30) days after the approval for a vote on a bond or other evidence of indebtedness to be issued by the local government entities described in subsection C of this section, the governing board of such entity shall cause to be published on that local government website:
1. A description of the projects or assets that will be acquired, improved or repaired with the proceeds from the issuance of the bonds;
2. A description of any unpaid or unfinished bond approved by the voters of that jurisdiction preceding the date of the vote on the bonds to be issued; and
3. A detailed description of the use of the previous bond proceeds. If the bond proceeds were used to acquire or improve real property, the description shall include a physical address using a street number or some other method by which the location of the property can be identified.
B. If the local government entity does not have a website, then it shall make the information accessible through some other method using the Internet to persons who reside in the geographic area of the local government entity. Should there be no reasonable method as described in this section, the entity shall cause the information to be published at least once in a newspaper of general circulation in the geographic area in which the voters of the local government jurisdiction reside.",Y,Y,N,Community Econ. Dev. Pooled Finance Program,NA,Public
Oklahoma,2010,"General Law: ""Taxpayer Transparency Act""*","Laws 2010, SB 1759, c. 475, § 2, emerg. eff. June 10, 2010; Laws 2010, HB 3422, c. 459, § 1, emerg. eff. July 1, 2010",62 Okl. St. § 46,"""D.  EFFECTIVE JANUARY 1, 2011, THE OFFICE OF STATE FINANCE SHALL UPDATE THE WEBSITE WITH “OPEN BOOKS 2.0,” AN EXPANDED ONLINE DATABASE THROUGH WHICH EACH INDIVIDUAL EXPENDITURE SHALL BE LISTED INDIVIDUALLY SEPARATE OF AGGREGATED AMOUNT. THE INFORMATION SHALL BE SEARCHABLE BY TERM INCLUDING NAME OF RECIPIENT, ENTITY MAKING EXPENDITURE AND DATE OF EXPENDITURE. THE WEBSITE SHALL ALLOW MEMBERS OF THE PUBLIC TO EXPORT SETS OF DATA PRODUCED BY SEARCH QUERY IN A STANDARDIZED EXPORTABLE FORM. NO LATER THAN EIGHTEEN (18) MONTHS AFTER “OPEN BOOKS 2.0” IS ONLINE, THE OFFICE OF STATE FINANCE SHALL CREATE AN ONLINE ARCHIVE FOR EACH FISCAL YEAR, BEGINNING WITH FISCAL YEAR 2011, WHICH SHALL BE ACCESSIBLE AND SEARCHABLE TO ONLINE USERS .""",N,Y,N,NA,X,Public
Oklahoma,2011,Quick Action Closing Fund,"Laws 2011, HB 1953, Enacted May 24, 2011",62 Okl. St. § 48.2,I.  The Department of Commerce shall make available on its website or other website dedicated for this purpose a complete disclosure of all payments made from the Oklahoma Quick Action Closing Fund. The disclosure shall include a description of the expenditures made by the business establishment with the payments made from the fund. No proprietary information of the business establishment shall be subject to the requirements of this subsection,N,Y,N,NA,NA,Public
Oklahoma,2007,"General Law: ""Taxpayer Transparency Act""","Laws 2007, SB 1, c. 327, § 1, eff. November 1, 2007",62 Okl. St. § 46,"""NEW LAW A new section of law to be codified in the Oklahoma Statutes as Section 46 of Title 62, unless there is created a duplication in numbering, reads as follows:
A.  This act shall be known and may be cited as the ""Taxpayer Transparency Act.""
B.  As used in the Taxpayer Transparency Act:
1. “Single website” means a website that allows the public to access information identified in subsection C of this section without any fee or charge to the public for such access;
“Incentive payments” means payments made under the Oklahoma Quality Jobs Program Act, Saving Quality Jobs Act, Oklahoma Quality Jobs Incentive Leverage Act, Small Employer Quality Jobs Incentive Act, Oklahoma Specialized Quality Investment Act and Oklahoma Quality Investment Act; and
4. “Tax credit” means a credit pursuant to the Oklahoma Income Tax Act against tax liability which is taken by a taxpayer, excluding credits authorized under paragraphs 1 and 2 of subsection B of Section 2357 and Sections 2357.29 and 2357.43 of Title 68 of the Oklahoma Statutes.
C.  No later than January 1, 2008, the Office of State Finance shall develop and operate a single website accessible by the public. The website shall include aggregate information on state revenue, expenditures and incentive payments and information on state tax preferences as contained in the tax expenditure report published by the Oklahoma Tax Commission pursuant to subsection E of Section 205 of Title 68 of the Oklahoma Statutes. No later than January 1, 2009, the website shall include search capabilities.
D.  As soon as practicable after January 1, 2008, such website shall also include, but not be limited to:
1.  For the expenditure of state funds or incentive payments:
a.  the name and principal location of the entity and/or recipients of the funds, excluding release of information relating to an individual’s place of residence, release of information prohibited by subsection D of Section 24 A.7 of Title 51 of the Oklahoma Statutes or by federal law relating to privacy rights,
b.  the amount of state funds expended,
c.  the type of transaction,
d.  the funding or expending agency, and
e.  a descriptive purpose of the funding action or expenditure; and
2.  For each tax credit, information, including but not limited to:
a.  the name of each taxpayer to which a credit has been granted,
b.  the amount of such credit, and
c.  the specific provision under which a credit has been granted.
E.  The single website provided for in subsection C of this section shall include data on state revenue, expenditures and incentive payments for the fiscal year 2007 and each fiscal year thereafter and on state tax credits for tax year 2007 and each tax year thereafter. Such data shall be available on the single website no later than one hundred twenty (120) days after the last day of the preceding fiscal year.
F.  The Oklahoma Tax Commission, the Office of the State Treasurer, all institutions of The Oklahoma State System of Higher Education and any other state agency shall provide to the Office of State Finance such information as is necessary to accomplish the purposes of this act.""
d.the funding or expending agency, and
e.a descriptive purpose of the funding action or expenditure;""",N,Y,N,NA,X,Public
Oklahoma,2000,Enterprise Zone State and Local Matching Payments,"Laws 2000, HB 2010, c. 339, § 16, emerg. eff. July 1, 2000",62 Okl. St. § 847,"""The Tax Commission shall prepare a report separately identifying the amounts described in subsection A of this section and shall submit the report prior to April 1 each year to the Governor, the Speaker of the House of Representatives and the President Pro Tempore of the Senate.""",N,N,Y,NA,NA,Internal
Oklahoma,2006,Rural Venture Capital Formation Incentive Act*,"Laws 2006, SB 1577, c. 281, § 27, emerg. eff. June 7, 2006",68 Okl. St. § 2357.76,"Augments reporting imposed earlier in 2001.  New information to be reported is listed below in capital letters.  ""On or before November 1 of each year subsequent to the effective date of the Rural Venture Capital Formation Incentive Act, the Oklahoma Tax Commission shall file a report with the Speaker of the House of Representatives and the President Pro Tempore of the Senate. The report shall state the amount of credits actually claimed and allowed pursuant to the provisions of this act [D> and the amount of credits likely to be claimed and allowed pursuant to the Rural Venture Capital Formation Incentive Act for the following year <D] [A> DURING THE PREVIOUS CALENDAR YEAR, STATISTICAL INFORMATION ON THE QUALIFIED INVESTMENTS MADE BY QUALIFIED RURAL SMALL BUSINESS CAPITAL COMPANIES DURING THE PREVIOUS YEAR, AN ESTIMATE OF THE NUMBER OF JOBS CREATED IN THIS STATE DURING THE PREVIOUS YEAR AND SUCH OTHER INFORMATION AS THE TAX COMMISSION MAY DEEM RELEVANT TO THE EFFECTIVE ADMINISTRATION OF THE RURAL VENTURE CAPITAL FORMATION INCENTIVE ACT <A] .""",N,N,Y,NA,NA,Internal
Oklahoma,2021,Oklahoma Remote Quality Jobs Incentive Act,"Laws 2021, HB 2860, c. 225, § 10, emerg. eff. July 1, 2021",68 Okl. St. § 4510,"""The Oklahoma Department of Commerce shall prepare triennially a report which shall include, but not be limited to, documentation of the new direct jobs created under the Oklahoma Remote Quality Jobs Incentive Act and a fiscal analysis of the costs and benefits of this act to the state. The report shall be submitted to the President Pro Tempore of the Senate, the Speaker of the House of Representatives and the Governor of this state no later than March 1, 2023, and every three (3) years thereafter. The report may be used for the purpose of determining whether to continue or sunset the Oklahoma Remote Quality Jobs Incentive Act.""",N,N,Y,NA,NA,Internal
Oklahoma,2006,Small Business Capital Formation Incentive Act*,"Laws 2006, SB 1577, c. 281, § 16, emerg. eff. June 7, 2006",68 Okl. St. § 2357.65,"Augments reporting imposed earlier in 1998.  New information to be reported is listed below in capital letters. ""On or before November 1 of each year subsequent to the effective date of this act, the Oklahoma Tax Commission shall file a report with the Speaker of the House of Representatives and the President Pro Tempore of the Senate. The report shall state the amount of credits actually claimed and allowed pursuant to the provisions of this act [D> and the amount of credits likely to be claimed and allowed pursuant to this act for the following year <D] [A> DURING THE PREVIOUS CALENDAR YEAR, STATISTICAL INFORMATION ON THE QUALIFIED INVESTMENTS MADE BY QUALIFIED SMALL BUSINESS CAPITAL COMPANIES DURING THE PREVIOUS YEAR, AN ESTIMATE OF THE NUMBER OF JOBS CREATED IN THIS STATE DURING THE PREVIOUS YEAR, AND SUCH OTHER INFORMATION AS THE TAX COMMISSION MAY DEEM RELEVANT <A] .",N,N,Y,NA,NA,Internal
Oklahoma,2009,21st Century Quality Jobs Incentive Act,"Laws 2009, SB 938, c. 285, § 10, eff. November 1, 2009",68 Okl. St. § 3920,"""The Oklahoma Department of Commerce shall prepare a report which shall include, but not be limited to, documentation of the new direct jobs created under this act and a fiscal analysis of the costs and benefits of the act to the state. The report shall be submitted to the President Pro Tempore of the Senate, the Speaker of the House of Representatives and the Governor no later than March 1, 2011, and every three (3) years thereafter. The report may be used for the purpose of determining whether to continue or sunset the 21st Century Quality Jobs Incentive Act.""",Y,N,Y,Quality Jobs Incentive Payment,NA,Internal
Oklahoma,1998,Small Business Capital Formation Incentive Act,Laws HB 1253,68 Okl. St. § 2357.65,"On or before November 1 of each year subsequent to the effective date of this act, the Oklahoma Tax Commission shall file a report with the Speaker of the House of Representatives and the President Pro Tempore of the Senate. The report shall state the amount of credits actually claimed and allowed pursuant to the provisions of this act and the amount of credits likely to be claimed and allowed pursuant to this act for the following year.",N,N,Y,NA,NA,Internal
Oklahoma,2016,"General Law: ""Taxpayer Transparency Act""*","Laws 2015, SB 806, c. 190, § 1, eff. January 1, 2016",62 Okl. St. § 46A,"""All economic incentive provisions enacted after January 1, 2016, shall include a measurable goal or goals. For the purposes of this act, “incentive” shall include any provision available to be used by a business entity in the form of a credit, exemption, deduction or rebate pertaining to a state tax liability of any kind; any grant, loan or financing program offered by the state or a state-beneficiary public trust; or any program for incentive payments from the state.
History.""",N,N,Y,NA,NA,Internal
Oklahoma,2010,21st Century Quality Events Incentive Act*,"Laws 2010, SB 1284, c. 386, § 10, eff. July 1, 2012",68 Okl. St. § 4310,"""The Executive Director of the Oklahoma Department of Commerce shall make a report to the Governor, the Speaker of the House of Representatives and the President Pro Tempore of the Senate not later than December 1, 2013, and each December 1 thereafter if this act is in force and effect, regarding the effect and impact of the Oklahoma Quality Events Incentive Act.""",N,N,Y,NA,NA,Internal
Oklahoma,2001,Rural Venture Capital Formation Incentive Act*,Laws HB 2010,68 Okl. St. § 2357.76,"On or before November 1 of each year subsequent to the effective date of the Rural Venture Capital Formation Incentive Act, the Oklahoma Tax Commission shall file a report with the Speaker of the House of Representatives and the President Pro Tempore of the Senate. The report shall state the amount of credits actually claimed and allowed pursuant to the provisions of this act",N,N,Y,NA,NA,Internal
Oklahoma,2018,Electricity Credit,"Laws 2018, SB 893, c. 264, § 1, eff. January 1, 2019;",68 Okl. St. § 2357.32A,"""The Tax Commission shall prepare an annual report and submit it to the Office of the State Secretary of Energy and Environment, the Governor, the Speaker of the Oklahoma House of Representatives and the President Pro Tempore of the Oklahoma State Senate summarizing the amount of credits allowed pursuant to subparagraphs b, c and d of paragraph 2 of subsection A of this section.""",N,N,Y,NA,NA,Internal
Oklahoma,2006,EDGE Fund,"Laws 2006, 2nd Extr. Sess., SB 99, c. 85, § 1, eff. September 22, 2006",62 Okl. St. Section 47,"""The Board of Investors of the EDGE Fund shall submit a report of the EDGE Fund’s investments and asset value annually to the Governor and the State Treasurer.""",N,N,Y,NA,NA,Internal
Oklahoma,2021,Film Tax Credits,"Laws 2021, SB 608, c. 516, § 3, emerg. eff. July 1, 2021",68 Okl. St. § 3633,"""By October 1 of each year, the Oklahoma Department of Commerce shall submit an annual report to the Speaker of the House of Representatives, the President Pro Tempore of the Senate, the Chair of the Appropriations and Budget Committee of the House of Representatives, the Chair of the Appropriations Committee of the Senate and the Director of the Legislative Office of Fiscal Transparency detailing the program and incentive rebate payments.""",N,N,Y,NA,NA,Internal
